Make,Model,Year,Trim,Miles,Color,Engine,Transmission,Title,Gas,Doors,Price
Hyundai,Elantra,2013,Gls,175000,Black,1.8L-v4,Automatic,Rebuilt,Gasoline,4,"$7,500 "
Nissan,Altima,2013,sl,187000,black,2.5l-v4,Automatic,rebuilt,gasoline,4,"$6,300 "
Chevrolet,Silverado,2017,ls,167000,white,5.3-v8,Automatic,clean,gasoline,2,"$17,000 "
Mercedes,Ml,2009,slk,170000,grey,3.6-v6,automatic,clean,gasoline,4,"$9,000 "
Nissan,Maxima,2015,sl,150000,blue,3.6-v6,automatic,clean,gasoline,4,"$8,600 "
Toyota,Sequoia,2008,sr5,220000,black,4.8-v8,automatic,clean,gasoline,4,"$12,000 "
chevrolet,silverado,2017,ls,175000,white,v8-5.3,automatic,clean,gasoline,2,17000
,,,,,,,,,,,
