makeid,modelid,manufacturerid,vin,batteryinfo,batterytype,bedtype,bodycabtype,bodyclass,enginecylinders,destinationmarket,displacementcc,displacementci,displacementl,doors,drivetype,driverassist,enginecycles,enginemodel,enginekw,entertainmentsystem,fueltypeprimary,gvwr,make,manufacturer,model,modelyear,plantcity,seats,series,steeringlocation,transmissionstyle,trim,vehicletype,windows,axles,brakesystemtype,batterycells,bedlengthin,brakesystemdesc,curbweightlb,airbagloccurtain,airbaglocseatcushion,batterya,batteryv,batterykwh,wheelbasetype,seatrows,valvetraindesign,transmissionspeeds,engineconfiguration,airbaglocfront,fueltypesecondary,fuelinjectiontype,airbaglocknee,enginehp,evdriveunit,plantcountry,plantcompanyname,plantstate,pretensioner,seatbeltsall,adaptivecruisecontrol,adaptiveheadlights,abs,cib,blindspotmon,ncsabodytype,ncsamake,ncsamodel,esc,tractioncontrol,forwardcollisionwarning,lanedeparturewarning,lanekeepsystem,rearvisibilitysystem,parkassist,airbaglocside,trim2,series2,wheelbaseshort,wheelbaselong,note,wheels,trailertype,trailerbodytype,trailerlength,wheelsizefront,wheelsizerear,otherrestraintsysteminfo,coolingtype,enginehp_to,electrificationlevel,chargerlevel,chargerpowerkw,otherengineinfo,batterya_to,batteryv_to,batterykwh_to,turbo,baseprice,batterymodules,batterypacks,topspeedmph,suggestedvin,errorcode,possiblevalues,axleconfiguration,enginemanufacturer,buslength,busfloorconfigtype,bustype,otherbusinfo,custommotorcycletype,motorcyclesuspensiontype,motorcyclechassistype,othermotorcycleinfo,othertrailerinfo,additionalerrortext,cashforclunkers,trackwidth,tpms,activesafetysysnote,dynamicbrakesupport,pedestrianautomaticemergencybraking,autoreversesystem,automaticpedestrianalertingsound,can_aacn,edr,keylessignition,daytimerunninglight,lowerbeamheadlamplightsource,semiautomaticheadlampbeamswitching,adaptivedrivingbeam,saeautomationlevel,saeautomationlevel_to,rearcrosstrafficalert,gcwr,gcwr_to,ncsanote,ncsamappingexception,ncsamapexcapprovedon,ncsamapexcapprovedby,gvwr_to,errortext,rearautomaticemergencybraking,blindspotintervention,lanecenteringassistance,nonlanduse,vehicledescriptor,fueltanktype,fueltankmaterial,combinedbrakingsystem,wheeliemitigation
452,1719,968,5UXWX7C5*BA,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,,2979.1682352,181.8,3.0,4,AWD/All-Wheel Drive,,,,,,Gasoline,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",BMW,BMW MANUFACTURER CORPORATION / BMW NORTH AMERICA,X3,2011,MUNICH,,,,,xDrive35i,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,300,,GERMANY,,,Yes,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),SAV,,,,,,Not Applicable,Not Applicable,,,,"Head Inflatable Restraint for Driver, Front Passenger, Rear Outboard Driver-side and Rear Outboard Passenger-side.  Knee Inflatable Restraint for Driver.  Pretensioners for Driver and Front Passenger.",,,,,,,,,,,,,,,,6,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,6 - Incomplete VIN,,,,,5UXWX7C5*BA,,,,
441,1685,955,5YJSA3DS*EF,,,Not Applicable,Not Applicable,Hatchback/Liftback/Notchback,,,,,,5,RWD/Rear-Wheel Drive,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",TESLA,"TESLA, INC.",Model S,2014,FREMONT,,,Left-Hand Drive (LHD),,,PASSENGER CAR,,,,,,,,,,,,,,,,,,,,,,,,UNITED STATES (USA),"Tesla - Fremont, CA (FRE)",CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,5YJSA!!!*EF,"5,6,14",(6:14)(7:HS)(8:12),,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,"The error positions are indicated by ! in Suggested VIN. In the Possible values section, each pair of parenthesis indicate information about each error position in VIN . The Numeric value before the : indicates the position in error and the values after the : indicate the possible values that are allowed in this position Unused position(s): 6,7,8.",,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)","5 - VIN has errors in few positions; 6 - Incomplete VIN; 14 - Unable to provide information for some of the characters in the VIN, based on the manufacturer submission.",,,,,5YJSA3DS*EF,,,,
